캠페인 이름,광고 세트 이름,광고 이름,연령,성,일,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,CPC(링크 클릭당 비용),"CPM(1,000회 노출당 비용)",CTR(전체),페이지 참여,페이지 좋아요,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,사진 조회,고유 아웃바운드 클릭,보고 시작,보고 종료,광고 세트,광고 위치
7 (전체),7 (인스타피드),7 - 2(인스타피드 상세),25-34,female,2021-03-26,7.0,157,157,324.0,2268.0,1.0,7.0,7.0,7.0,324.0,324.0,14445.85987261,4.45859873,10.0,,,10.0,3.0,,,,7.0,2021-03-26,2021-03-26,7,인스타피드
7 (전체),7 (인스타피드),7 - 2(인스타피드 상세),35-44,female,2021-03-26,3.0,101,101,476.66666666667,1430.0,1.0,2.0,3.0,3.0,476.66666667,476.66666667,14158.41584158,2.97029703,3.0,,,3.0,,,,,2.0,2021-03-26,2021-03-26,7,인스타피드
1 (전체),1 (인스타피드),1 - 3(인스타피드 상세),13-17,female,2021-03-26,1.0,204,208,1292.0,1292.0,1.0196078431373,1.0,1.0,1.0,1292.0,1292.0,6211.53846154,0.96153846,4.0,,,4.0,1.0,2.0,,,1.0,2021-03-26,2021-03-26,1,인스타피드
1 (전체),1 (인스타피드),1 - 3(인스타피드 상세),18-24,female,2021-03-26,2.0,70,70,333.5,667.0,1.0,2.0,2.0,2.0,333.5,333.5,9528.57142857,2.85714286,2.0,,,2.0,,,,,2.0,2021-03-26,2021-03-26,1,인스타피드
7 (전체),7 (페이스북),7 - 1(페이스북 상세),25-34,unknown,2021-03-26,,1,1,,16.0,1.0,,,,,,16000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (페이스북),7 - 1(페이스북 상세),45-54,female,2021-03-26,1.0,17,17,277.0,277.0,1.0,1.0,1.0,,,277.0,16294.11764706,5.88235294,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (페이스북),7 - 1(페이스북 상세),45-54,unknown,2021-03-26,,1,1,,0.0,1.0,,,,,,0.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (페이스북),7 - 1(페이스북 상세),25-34,female,2021-03-26,,6,6,,73.0,1.0,,,,,,12166.66666667,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (페이스북),7 - 1(페이스북 상세),25-34,male,2021-03-26,,6,6,,32.0,1.0,,,,,,5333.33333333,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (페이스북),7 - 1(페이스북 상세),45-54,male,2021-03-26,,11,11,,106.0,1.0,,,,,,9636.36363636,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (페이스북),7 - 1(페이스북 상세),35-44,male,2021-03-26,1.0,16,16,208.0,208.0,1.0,1.0,1.0,,,208.0,13000.0,6.25,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,7,페이스북
7 (전체),7 (페이스북),7 - 1(페이스북 상세),35-44,female,2021-03-26,1.0,15,16,188.0,188.0,1.0666666666667,1.0,1.0,1.0,188.0,188.0,11750.0,6.25,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,7,페이스북
1 (전체),1 (페이스북),1 - 2(페이스북 상세),13-17,female,2021-03-26,3.0,182,207,346.0,1038.0,1.1373626373626,3.0,3.0,2.0,519.0,346.0,5014.49275362,1.93236715,3.0,,,3.0,,,,,3.0,2021-03-26,2021-03-26,1,페이스북
1 (전체),1 (페이스북),1 - 2(페이스북 상세),18-24,female,2021-03-26,,11,11,,54.0,1.0,,,,,,4909.09090909,0.0,,,,,,,,,,2021-03-26,2021-03-26,1,페이스북
6 (전체),6 (인스타피드),6 - 1(인스타피드 상세),13-17,unknown,2021-03-26,,1,1,,2.0,1.0,,,,,,2000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,인스타피드
6 (전체),6 (인스타피드),6 - 2(인스타피드 상세),25-34,female,2021-03-26,,47,47,,445.0,1.0,,,,,,9468.08510638,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,인스타피드
1 (전체),1 (인스타스토리),1 - 1(인스타스토리 상세),18-24,female,2021-03-26,1.0,61,61,486.0,486.0,1.0,1.0,1.0,1.0,486.0,486.0,7967.21311475,1.63934426,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,1,인스타스토리
1 (전체),1 (인스타스토리),1 - 3(인스타스토리 상세),13-17,unknown,2021-03-26,,2,2,,10.0,1.0,,,,,,5000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,1,인스타스토리
1 (전체),1 (인스타스토리),1 - 3(인스타스토리 상세),18-24,male,2021-03-26,,10,10,,45.0,1.0,,,,,,4500.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,1,인스타스토리
1 (전체),1 (인스타스토리),1 - 3(인스타스토리 상세),18-24,female,2021-03-26,2.0,48,48,117.0,234.0,1.0,2.0,2.0,2.0,117.0,117.0,4875.0,4.16666667,2.0,,,2.0,,,,,2.0,2021-03-26,2021-03-26,1,인스타스토리
1 (전체),1 (인스타스토리),1 - 3(인스타스토리 상세),13-17,male,2021-03-26,,53,53,,119.0,1.0,,,,,,2245.28301887,0.0,,,,,,,,,,2021-03-26,2021-03-26,1,인스타스토리
1 (전체),1 (인스타스토리),1 - 3(인스타스토리 상세),13-17,female,2021-03-26,5.0,580,594,338.8,1694.0,1.0241379310345,5.0,5.0,5.0,338.8,338.8,2851.85185185,1.34680135,5.0,,,5.0,,,,,5.0,2021-03-26,2021-03-26,1,인스타스토리
6 (전체),6 (페이스북),6 - 2(페이스북 상세),25-34,female,2021-03-26,,14,15,,148.0,1.0714285714286,,,,,,9866.66666667,6.66666667,1.0,,,1.0,1.0,,,,,2021-03-26,2021-03-26,6,페이스북
6 (전체),6 (페이스북),6 - 2(페이스북 상세),25-34,male,2021-03-26,1.0,17,19,162.0,162.0,1.1176470588235,1.0,1.0,1.0,162.0,162.0,8526.31578947,5.26315789,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,6,페이스북
6 (전체),6 (페이스북),6 - 2(페이스북 상세),45-54,male,2021-03-26,,6,6,,22.0,1.0,,,,,,3666.66666667,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,페이스북
6 (전체),6 (페이스북),6 - 2(페이스북 상세),45-54,female,2021-03-26,,5,5,,29.0,1.0,,,,,,5800.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,페이스북
6 (전체),6 (페이스북),6 - 2(페이스북 상세),35-44,female,2021-03-26,,5,5,,46.0,1.0,,,,,,9200.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,페이스북
6 (전체),6 (페이스북),6 - 2(페이스북 상세),35-44,male,2021-03-26,,3,3,,64.0,1.0,,,,,,21333.33333333,0.0,,,,,,,,,,2021-03-26,2021-03-26,6,페이스북
