광고 세트 이름,연령,성,일,캠페인 이름,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,페이지 참여,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,보고 시작,보고 종료
9 (페이스북),25-34,unknown,2021-04-26,9 (전체),,2,2,,11,1,,,,,,,,,,,2021-04-26,2021-04-26
9 (페이스북),18-24,unknown,2021-04-26,9 (전체),1,6,7,58,58,1.166666667,1,1,,,1,,1,,,,2021-04-26,2021-04-26
9 (페이스북),18-24,male,2021-04-26,9 (전체),2,569,579,1395,2790,1.017574692,2,2,,,2,,2,,,,2021-04-26,2021-04-26
9 (페이스북),25-34,male,2021-04-26,9 (전체),13,291,295,151.8461538,1974,1.013745704,12,13,,,14,,14,,,1,2021-04-26,2021-04-26
9 (페이스북),25-34,female,2021-04-26,9 (전체),27,722,741,181,4887,1.026315789,27,27,,,28,,28,,,1,2021-04-26,2021-04-26
9 (인스타스토리),18-24,male,2021-04-26,9 (전체),1,12,12,40,40,1,1,1,,,1,,1,,,,2021-04-26,2021-04-26
9 (인스타피드),18-24,male,2021-04-26,9 (전체),2,106,109,373,746,1.028301887,2,2,,,4,1,4,,1,,2021-04-26,2021-04-26
9 (인스타피드),25-34,male,2021-04-26,9 (전체),4,110,110,229.75,919,1,4,4,,,4,,4,,,,2021-04-26,2021-04-26
9 (인스타피드),25-34,female,2021-04-26,9 (전체),25,500,514,178.92,4473,1.028,25,25,,,32,,32,2,4,1,2021-04-26,2021-04-26
9 (인스타피드),18-24,female,2021-04-26,9 (전체),30,653,673,151.7,4551,1.030627871,28,30,,,41,,41,3,8,,2021-04-26,2021-04-26
9 (인스타피드),18-24,unknown,2021-04-26,9 (전체),,5,5,,22,1,,,,,,,,,,,2021-04-26,2021-04-26
9 (인스타피드),Unknown,unknown,2021-04-26,9 (전체),,1,1,,7,1,,,,,,,,,,,2021-04-26,2021-04-26
9 (인스타스토리),18-24,female,2021-04-26,9 (전체),,34,34,,153,1,,,,,,,,,,,2021-04-26,2021-04-26
9 (인스타스토리),25-34,female,2021-04-26,9 (전체),,4,4,,30,1,,,,,,,,,,,2021-04-26,2021-04-26
9 (인스타스토리),25-34,unknown,2021-04-26,9 (전체),,2,2,,9,1,,,,,,,,,,,2021-04-26,2021-04-26
6번,35-44,male,2021-04-26,4월 캠페인,,1,1,,25,1,,,,,,,,,,,2021-04-26,2021-04-26
