,Season,Year,City,Sport,Discipline,Athlete,Code,Gender,Event,Medal,Country
181,summer,1900,Paris,Aquatics,Swimming,"LYKKEBERG, Peder",DEN,Men,Underwater Swimming,Bronze,Denmark
182,summer,1900,Paris,Aquatics,Swimming,"DE VENDEVILLE, Charles",FRA,Men,Underwater Swimming,Gold,France
183,summer,1900,Paris,Aquatics,Swimming,"SIX, André",FRA,Men,Underwater Swimming,Silver,France
184,summer,1900,Paris,Aquatics,Water polo,"BURGESS, Thomas",FRA,Men,Water Polo,Bronze,France
185,summer,1900,Paris,Aquatics,Water polo,COULON,FRA,Men,Water Polo,Bronze,France
186,summer,1900,Paris,Aquatics,Water polo,"DECUYPER, Alphonse",FRA,Men,Water Polo,Bronze,France
187,summer,1900,Paris,Aquatics,Water polo,DEVENOT,FRA,Men,Water Polo,Bronze,France
188,summer,1900,Paris,Aquatics,Water polo,FARDELLE,FRA,Men,Water Polo,Bronze,France
189,summer,1900,Paris,Aquatics,Water polo,FAVIER,FRA,Men,Water Polo,Bronze,France
190,summer,1900,Paris,Aquatics,Water polo,"LAUFRAY, Louis",FRA,Men,Water Polo,Bronze,France
191,summer,1900,Paris,Aquatics,Water polo,LERICHE,FRA,Men,Water Polo,Bronze,France
192,summer,1900,Paris,Aquatics,Water polo,"MARTIN, Louis",FRA,Men,Water Polo,Bronze,France
193,summer,1900,Paris,Aquatics,Water polo,"MERCHEZ, Désiré",FRA,Men,Water Polo,Bronze,France
194,summer,1900,Paris,Aquatics,Water polo,"PESLIER, Henri",FRA,Men,Water Polo,Bronze,France
195,summer,1900,Paris,Aquatics,Water polo,PESLOY,FRA,Men,Water Polo,Bronze,France
196,summer,1900,Paris,Aquatics,Water polo,"TREFFEL, Charles",FRA,Men,Water Polo,Bronze,France
197,summer,1900,Paris,Aquatics,Water polo,"VASSEUR, Paul",FRA,Men,Water Polo,Bronze,France
198,summer,1900,Paris,Aquatics,Water polo,"COE, Thomas",GBR,Men,Water Polo,Gold,United Kingdom
199,summer,1900,Paris,Aquatics,Water polo,"DERBYSHIRE, John Henry",GBR,Men,Water Polo,Gold,United Kingdom
200,summer,1900,Paris,Aquatics,Water polo,"KEMP, Peter",GBR,Men,Water Polo,Gold,United Kingdom
201,summer,1900,Paris,Aquatics,Water polo,"LISTER, William",GBR,Men,Water Polo,Gold,United Kingdom
202,summer,1900,Paris,Aquatics,Water polo,"ROBERTSON, Arthur",GBR,Men,Water Polo,Gold,United Kingdom
203,summer,1900,Paris,Aquatics,Water polo,"ROBINSON, Eric",GBR,Men,Water Polo,Gold,United Kingdom
204,summer,1900,Paris,Aquatics,Water polo,"WILKINSON, George",GBR,Men,Water Polo,Gold,United Kingdom
205,summer,1900,Paris,Aquatics,Water polo,"COHEN, Henri",BEL,Men,Water Polo,Silver,Belgium
206,summer,1900,Paris,Aquatics,Water polo,"DE BACKER, Jean",BEL,Men,Water Polo,Silver,Belgium
207,summer,1900,Paris,Aquatics,Water polo,"DE BEHR, Victor",BEL,Men,Water Polo,Silver,Belgium
208,summer,1900,Paris,Aquatics,Water polo,"FEYAERTS, Fernand",BEL,Men,Water Polo,Silver,Belgium
